iter	Passed	Remaining
0	25	12634
1	47	11806
2	59	9934
3	71	8806
4	82	8171
5	94	7755
6	104	7373
7	115	7111
8	129	7057
9	148	7292
10	163	7271
11	179	7312
12	207	7765
13	224	7796
14	235	7625
15	246	7455
16	258	7332
17	270	7241
18	281	7135
19	293	7036
20	306	6983
21	332	7234
22	349	7257
23	361	7174
24	372	7074
25	383	6984
26	395	6920
27	406	6856
28	418	6793
29	429	6722
30	440	6664
31	452	6623
32	463	6563
33	474	6506
34	486	6457
35	497	6416
36	511	6396
37	532	6474
38	550	6507
39	562	6463
40	573	6422
41	585	6379
42	596	6343
43	608	6307
44	620	6272
45	630	6227
46	642	6195
47	654	6159
48	664	6118
49	675	6083
50	686	6043
51	697	6005
52	708	5971
53	719	5938
54	729	5902
55	740	5872
56	766	5953
57	793	6045
58	818	6119
59	835	6126
60	846	6089
61	858	6061
62	869	6032
63	880	5999
64	891	5967
65	902	5936
66	915	5916
67	928	5897
68	940	5876
69	952	5851
70	964	5825
71	977	5807
72	988	5780
73	1005	5785
74	1031	5847
75	1050	5858
76	1061	5831
77	1073	5807
78	1095	5839
79	1117	5866
80	1130	5845
81	1141	5819
82	1153	5795
83	1164	5769
84	1178	5755
85	1196	5758
86	1223	5806
87	1251	5858
88	1278	5902
89	1291	5881
90	1302	5853
91	1313	5825
92	1325	5798
93	1336	5771
94	1347	5745
95	1358	5718
96	1370	5692
97	1381	5665
98	1392	5639
99	1403	5613
100	1414	5588
101	1431	5586
102	1449	5587
103	1467	5587
104	1479	5566
105	1505	5596
106	1521	5588
107	1550	5627
108	1576	5653
109	1588	5630
110	1598	5602
111	1609	5576
112	1621	5552
113	1632	5526
114	1643	5502
115	1655	5478
116	1666	5454
117	1677	5431
118	1689	5408
119	1700	5385
120	1712	5362
121	1723	5340
122	1734	5316
123	1745	5292
124	1756	5269
125	1774	5266
126	1801	5291
127	1821	5292
128	1832	5268
129	1842	5245
130	1854	5223
131	1866	5202
132	1878	5183
133	1890	5162
134	1901	5140
135	1912	5117
136	1922	5095
137	1934	5074
138	1946	5054
139	1970	5066
140	1996	5084
141	2023	5101
142	2039	5092
143	2054	5078
144	2078	5089
145	2093	5076
146	2104	5053
147	2115	5032
148	2127	5011
149	2149	5015
150	2174	5025
151	2202	5041
152	2227	5052
153	2256	5069
154	2278	5071
155	2298	5068
156	2327	5085
157	2349	5086
158	2371	5085
159	2383	5064
160	2394	5042
161	2406	5021
162	2438	5040
