iter	RMSE
0	14.14336021
1	14.01019065
2	13.87781572
3	13.74928866
4	13.6214446
5	13.49313422
6	13.36685201
7	13.24081261
8	13.11701204
9	12.99294159
10	12.87366707
11	12.7542221
12	12.63605037
13	12.51664514
14	12.39939758
15	12.28524704
16	12.16970016
17	12.05746566
18	11.94544939
19	11.83578697
20	11.7278648
21	11.62004818
22	11.51201364
23	11.40817087
24	11.30499633
25	11.20062876
26	11.09699548
27	10.99612157
28	10.89511153
29	10.79592922
30	10.69665995
31	10.59932863
32	10.50242527
33	10.40880614
34	10.31431721
35	10.22165936
36	10.12866245
37	10.03705639
38	9.946351404
39	9.855264616
40	9.768066885
41	9.678947908
42	9.591841237
43	9.506227974
44	9.419956236
45	9.335467175
46	9.251287458
47	9.168668891
48	9.086021535
49	9.004505768
50	8.925883977
51	8.84609792
52	8.768388416
53	8.690395297
54	8.614557974
55	8.540033763
56	8.464467422
57	8.391156176
58	8.317289786
59	8.244856223
60	8.17211157
61	8.100253155
62	8.029676214
63	7.959142985
64	7.890972436
65	7.822721095
66	7.754670245
67	7.688260955
68	7.621650129
69	7.555792741
70	7.491792421
71	7.427482434
72	7.364383718
73	7.301756267
74	7.240691953
75	7.17964789
76	7.119943938
77	7.059948083
78	7.000258727
79	6.94173143
80	6.883828806
81	6.826161782
82	6.770615343
83	6.714987555
84	6.659836944
85	6.604835282
86	6.550085595
87	6.495852826
88	6.442560355
89	6.389975109
90	6.338529063
91	6.286702647
92	6.235778005
93	6.186090369
94	6.137735821
95	6.088546466
96	6.03974194
97	5.991784067
98	5.944189931
99	5.897146116
100	5.850918957
101	5.805276916
102	5.76074826
103	5.715746217
104	5.671216777
105	5.62729054
106	5.586012039
107	5.54280218
108	5.499771797
109	5.458325759
110	5.418320361
111	5.377270958
112	5.337163461
113	5.297620562
114	5.257780843
115	5.21806396
116	5.179121507
117	5.141084989
118	5.10339107
119	5.06630613
120	5.029829234
121	4.994192416
122	4.958338258
123	4.922912922
124	4.88756236
125	4.852625252
126	4.818572877
127	4.783123184
128	4.749793132
129	4.716924569
130	4.68446004
131	4.652239109
132	4.62043081
133	4.589239701
134	4.557943946
135	4.527736969
136	4.49761865
137	4.467947474
138	4.438102012
139	4.409245897
140	4.380664884
141	4.352459562
142	4.324643681
143	4.29713813
144	4.269605242
145	4.242890813
146	4.217378378
147	4.191001877
148	4.164509567
149	4.139148524
150	4.113441259
151	4.088498106
152	4.063804275
153	4.038573724
154	4.014729964
155	3.991145542
156	3.966962169
157	3.943875279
158	3.921493004
159	3.898676085
160	3.876346193
161	3.854211626
162	3.831846326
163	3.810258101
164	3.787766154
165	3.767009502
166	3.744707986
167	3.725099475
168	3.705439649
169	3.685692555
170	3.666372166
171	3.647427067
172	3.628912191
173	3.610400786
174	3.59195199
175	3.573970555
176	3.556371955
177	3.536571565
178	3.517652414
179	3.50038735
180	3.483094984
181	3.467078246
182	3.449239436
183	3.432750866
184	3.416996037
185	3.401064285
186	3.385476794
187	3.368330404
188	3.353497064
189	3.338579396
190	3.323549848
191	3.307069519
192	3.292344566
193	3.276561384
194	3.262404396
195	3.248323413
196	3.235450054
197	3.221677594
198	3.207349711
199	3.193330287
200	3.18013005
201	3.168145964
202	3.156508886
203	3.143938353
204	3.129833576
205	3.118321411
206	3.104665927
207	3.092007829
208	3.078761092
209	3.067678291
210	3.056414418
211	3.045036275
212	3.032984518
213	3.022540513
214	3.010303337
215	3.000298315
216	2.989565676
217	2.978337817
218	2.968374251
219	2.958771039
220	2.949413227
221	2.938157
222	2.927463517
223	2.918102382
224	2.907611542
225	2.89871306
226	2.888314402
227	2.879841194
228	2.869691418
229	2.861690695
230	2.852049453
231	2.843834288
232	2.834443235
233	2.826702083
234	2.818994124
235	2.811419814
236	2.803897328
237	2.795804793
238	2.7886046
239	2.78166643
240	2.77293633
241	2.766243708
242	2.758652684
243	2.750285921
244	2.743736692
245	2.737308747
246	2.731134123
247	2.724560127
248	2.716838229
249	2.710590556
250	2.704029805
251	2.698028168
252	2.692373132
253	2.68680004
254	2.68008529
255	2.673932849
256	2.668352076
257	2.662481171
258	2.656140356
259	2.650526359
260	2.646002262
261	2.64065405
262	2.635622316
263	2.630648926
264	2.625779533
265	2.619846649
266	2.615065673
267	2.609045698
268	2.604040978
269	2.599614202
270	2.594993719
271	2.589286726
272	2.584703888
273	2.580432007
274	2.575831383
275	2.570372998
276	2.565664532
277	2.561492419
278	2.55599933
279	2.552063835
280	2.547031286
281	2.543491673
282	2.5383123
283	2.534916133
284	2.530247299
285	2.525213286
286	2.520409073
287	2.515532828
288	2.511725728
289	2.50715163
290	2.503967525
291	2.500528179
292	2.497408907
293	2.494212992
294	2.491039466
295	2.486607892
296	2.482527141
297	2.479581739
298	2.475533012
299	2.472596464
300	2.468510231
301	2.465419478
302	2.461615331
303	2.458834175
304	2.456038855
305	2.453212913
306	2.451275914
307	2.447344738
308	2.444812576
309	2.44103941
310	2.438610012
311	2.436282729
312	2.43260912
313	2.430104403
314	2.427796328
315	2.42448075
316	2.422364828
317	2.420163966
318	2.417892208
319	2.415678534
320	2.413629434
321	2.411618089
322	2.409599587
323	2.406989791
324	2.405137875
325	2.403234993
326	2.400119267
327	2.397299574
328	2.395583561
329	2.39312288
330	2.391308191
331	2.388683149
332	2.385618581
333	2.382648478
334	2.379957803
335	2.377243069
336	2.374516916
337	2.372833132
338	2.371097838
339	2.368547193
340	2.36682941
341	2.365478007
342	2.36405376
343	2.362496696
344	2.360370055
345	2.358967467
346	2.356439526
347	2.355043468
348	2.353537121
349	2.352091883
350	2.350594385
351	2.348904153
352	2.34755728
353	2.346321654
354	2.343996878
355	2.341802355
356	2.339674341
357	2.337426037
358	2.335340238
359	2.33389357
360	2.332612317
361	2.331403238
362	2.330334978
363	2.329064039
364	2.327722328
365	2.326341348
366	2.324971746
367	2.322939616
368	2.321831502
369	2.319727686
370	2.317521187
371	2.316610993
372	2.315445124
373	2.314297404
374	2.312949369
375	2.311104876
376	2.309859916
377	2.308082411
378	2.306919657
379	2.305892295
380	2.304864916
381	2.303880287
382	2.3024299
383	2.300684445
384	2.299754666
385	2.297906697
386	2.296848231
387	2.295832261
388	2.294873157
389	2.294070191
390	2.293190091
391	2.291513149
392	2.290769055
393	2.289630249
394	2.28885397
395	2.287289638
396	2.285602741
397	2.284139019
398	2.283147059
399	2.282323638
400	2.281575185
401	2.280659621
402	2.279824264
403	2.278334571
404	2.277551284
405	2.276002713
406	2.275160036
407	2.274001775
408	2.273396866
409	2.272703148
410	2.271120558
411	2.269417665
412	2.268474473
413	2.267727323
414	2.266924329
415	2.266158704
416	2.265481683
417	2.264204099
418	2.263247802
419	2.262479233
420	2.261792709
421	2.261102534
422	2.260461699
423	2.259138184
424	2.257732928
425	2.257012375
426	2.256331705
427	2.255533942
428	2.254201954
429	2.253485332
430	2.252795512
431	2.252312175
432	2.251162805
433	2.250473917
434	2.249990437
435	2.249311249
436	2.248558363
437	2.248002022
438	2.247288966
439	2.246620199
440	2.245789387
441	2.244392159
442	2.242962099
443	2.241900284
444	2.241087534
445	2.239979044
446	2.239280095
447	2.237979396
448	2.236901673
449	2.236335709
450	2.235655333
451	2.234598918
452	2.233934011
453	2.233384605
454	2.232887231
455	2.232429315
456	2.231905927
457	2.231405063
458	2.230839341
459	2.229646383
460	2.229067564
461	2.228392736
462	2.227830765
463	2.227306514
464	2.226888111
465	2.225883606
466	2.225411726
467	2.224475108
468	2.223925273
469	2.223207166
470	2.222746803
471	2.222327191
472	2.221622492
473	2.221214955
474	2.220805034
475	2.220038402
476	2.21962475
477	2.219101983
478	2.218732279
479	2.218054806
480	2.217036483
481	2.216801116
482	2.215958395
483	2.214921589
484	2.214617065
485	2.214312238
486	2.213279405
487	2.213014188
488	2.212039356
489	2.211540601
490	2.21072993
491	2.210147955
492	2.209792528
493	2.208733
494	2.208461698
495	2.207644074
496	2.206614284
497	2.206204727
498	2.205800499
499	2.20553937
