iter	Passed	Remaining
0	22	11101
1	42	10616
2	59	9837
3	76	9511
4	102	10172
5	132	10929
6	151	10659
7	162	9978
8	173	9457
9	183	9002
10	200	8908
11	227	9252
12	254	9515
13	278	9662
14	291	9423
15	302	9148
16	313	8909
17	324	8683
18	335	8502
19	347	8345
20	358	8176
21	369	8026
22	379	7879
23	390	7754
24	403	7657
25	413	7544
26	424	7437
27	435	7340
28	446	7247
29	457	7173
30	468	7094
31	479	7015
32	490	6935
33	501	6873
34	512	6806
35	523	6744
36	534	6688
37	546	6642
38	567	6708
39	592	6811
40	616	6898
41	628	6853
42	639	6797
43	650	6740
44	661	6688
45	672	6639
46	685	6609
47	696	6561
48	707	6515
49	719	6473
50	730	6428
51	740	6382
52	755	6370
53	771	6375
54	784	6347
55	796	6315
56	807	6278
57	831	6336
58	858	6416
59	882	6473
60	895	6444
61	909	6425
62	921	6394
63	934	6368
64	946	6336
65	956	6291
66	965	6241
67	975	6199
68	985	6156
69	995	6114
70	1008	6094
71	1019	6057
72	1029	6019
73	1040	5989
74	1051	5958
75	1062	5927
76	1074	5900
77	1084	5869
78	1096	5842
79	1107	5813
80	1119	5789
81	1130	5764
82	1141	5734
83	1153	5710
84	1167	5697
85	1188	5723
86	1207	5731
87	1218	5703
88	1229	5679
89	1240	5652
90	1252	5628
91	1263	5601
92	1273	5573
93	1284	5546
94	1295	5522
95	1306	5499
96	1322	5494
97	1349	5533
98	1371	5555
99	1383	5534
100	1395	5512
101	1406	5486
102	1417	5462
103	1428	5438
104	1439	5413
105	1450	5390
106	1461	5369
107	1473	5349
108	1484	5325
109	1497	5308
110	1515	5310
111	1526	5286
112	1537	5265
113	1548	5244
114	1560	5223
115	1571	5201
116	1582	5181
117	1594	5161
118	1605	5140
119	1616	5118
120	1631	5109
121	1642	5088
122	1653	5069
123	1665	5049
124	1676	5028
125	1687	5008
126	1699	4990
127	1709	4969
128	1721	4949
129	1733	4932
130	1744	4913
131	1756	4896
132	1767	4878
133	1778	4858
134	1790	4840
135	1801	4822
136	1811	4800
137	1823	4783
138	1835	4767
139	1859	4782
140	1885	4800
141	1899	4789
142	1911	4771
143	1921	4750
144	1932	4731
145	1944	4715
146	1956	4697
147	1967	4679
148	1978	4660
149	1990	4643
150	2005	4634
151	2016	4615
152	2035	4615
153	2058	4625
154	2072	4613
155	2083	4594
156	2095	4577
157	2120	4589
158	2142	4594
159	2155	4580
160	2176	4582
161	2196	4583
162	2223	4597
163	2241	4592
164	2253	4574
165	2264	4555
166	2275	4537
167	2286	4518
168	2297	4500
169	2309	4483
170	2321	4465
171	2332	4447
172	2350	4443
173	2374	4449
174	2397	4452
175	2420	4455
176	2441	4454
177	2467	4463
178	2493	4471
179	2507	4457
180	2518	4437
181	2529	4419
182	2540	4401
183	2564	4404
184	2591	4412
185	2619	4422
186	2649	4434
187	2677	4443
188	2695	4434
189	2706	4415
190	2717	4395
191	2729	4378
192	2740	4358
193	2750	4337
194	2761	4319
195	2772	4300
196	2783	4280
197	2794	4261
198	2805	4243
199	2817	4226
200	2829	4208
201	2840	4190
202	2852	4173
203	2863	4154
204	2874	4136
205	2886	4119
206	2897	4101
207	2908	4082
208	2919	4065
209	2931	4048
210	2943	4032
211	2956	4015
212	2977	4011
213	2989	3994
