iter	RMSE
0	14.12891729
1	13.99684569
2	13.8671615
3	13.73645297
4	13.60749153
5	13.47920911
6	13.35457669
7	13.2286785
8	13.10447654
9	12.98101102
10	12.86160318
11	12.74188008
12	12.62385025
13	12.50742082
14	12.39068638
15	12.27461565
16	12.16089949
17	12.04981531
18	11.93892193
19	11.82863072
20	11.71869596
21	11.61032214
22	11.50363186
23	11.40010661
24	11.29472637
25	11.1901456
26	11.08711815
27	10.98462226
28	10.8839776
29	10.78429975
30	10.68520364
31	10.58666399
32	10.49116005
33	10.39603385
34	10.30056251
35	10.20703438
36	10.11351636
37	10.02083465
38	9.929300663
39	9.839264525
40	9.750487653
41	9.662245771
42	9.576171663
43	9.489159736
44	9.403708592
45	9.319753779
46	9.237587594
47	9.154568496
48	9.071721704
49	8.991010929
50	8.911093444
51	8.832573325
52	8.754132777
53	8.676143056
54	8.599104285
55	8.52359013
56	8.448418522
57	8.373535858
58	8.300160799
59	8.227707014
60	8.156007228
61	8.085721821
62	8.014474642
63	7.947270516
64	7.877934371
65	7.809507683
66	7.742165287
67	7.675214451
68	7.60887048
69	7.543256212
70	7.478396865
71	7.414060963
72	7.351606693
73	7.288837407
74	7.227203164
75	7.166443576
76	7.105496915
77	7.046093177
78	6.987871691
79	6.929032295
80	6.871066444
81	6.813800193
82	6.757754229
83	6.701146278
84	6.645483014
85	6.590486891
86	6.535519499
87	6.483263753
88	6.430987356
89	6.37817157
90	6.326333846
91	6.275352685
92	6.224990629
93	6.174730713
94	6.124888957
95	6.076324991
96	6.027594105
97	5.979632924
98	5.933128112
99	5.886248289
100	5.840020188
101	5.79431902
102	5.749086762
103	5.704198169
104	5.66004062
105	5.616638571
106	5.573251314
107	5.530923106
108	5.488710623
109	5.446413768
110	5.406098782
111	5.366020307
112	5.32535575
113	5.285947532
114	5.24640062
115	5.206884086
116	5.168326336
117	5.128847832
118	5.091218304
119	5.054925512
120	5.019059231
121	4.98301099
122	4.947929462
123	4.913396295
124	4.87782366
125	4.843560116
126	4.80824898
127	4.774251145
128	4.740925995
129	4.708355108
130	4.675746934
131	4.642954575
132	4.610968575
133	4.579978163
134	4.549330756
135	4.519265727
136	4.489308304
137	4.459762988
138	4.430000679
139	4.4012063
140	4.3725578
141	4.344329919
142	4.316489553
143	4.287242133
144	4.260301745
145	4.233538663
146	4.206801091
147	4.180770901
148	4.154781925
149	4.127528539
150	4.100977038
151	4.076583574
152	4.050055537
153	4.025850682
154	4.002236913
155	3.979005607
156	3.953993048
157	3.931405964
158	3.9087977
159	3.88690884
160	3.864922264
161	3.843873439
162	3.822002265
163	3.801156562
164	3.779985532
165	3.759095484
166	3.738807137
167	3.718422524
168	3.697617502
169	3.678017707
170	3.65663472
171	3.637146337
172	3.618768818
173	3.600729899
174	3.580407015
175	3.560457924
176	3.543002887
177	3.525991623
178	3.508330154
179	3.491140485
180	3.474647519
181	3.458014404
182	3.439811506
183	3.42175056
184	3.404308385
185	3.386988631
186	3.370322959
187	3.354942179
188	3.339206941
189	3.322565481
190	3.307583581
191	3.29292459
192	3.278507724
193	3.263558547
194	3.249659226
195	3.235998461
196	3.221352884
197	3.208024171
198	3.193196478
199	3.178682834
200	3.165704787
201	3.152077766
202	3.139952566
203	3.125890076
204	3.113263724
205	3.101622631
206	3.088202015
207	3.077072904
208	3.065377956
209	3.052660754
210	3.041853462
211	3.029282305
212	3.017230873
213	3.005427672
214	2.995147524
215	2.984911667
216	2.975215205
217	2.965337792
218	2.95379097
219	2.944866568
220	2.935526241
221	2.924763916
222	2.9160844
223	2.906492326
224	2.897137604
225	2.887936247
226	2.879483059
227	2.870381486
228	2.861937328
229	2.851983935
230	2.843653419
231	2.834077877
232	2.825928508
233	2.817487004
234	2.808598087
235	2.800773906
236	2.792213247
237	2.784736623
238	2.777494079
239	2.768843958
240	2.761711897
241	2.75472425
242	2.747754867
243	2.740355786
244	2.733382889
245	2.726338478
246	2.720266764
247	2.714063266
248	2.706692864
249	2.699882352
250	2.692687538
251	2.686536549
252	2.679537163
253	2.672405351
254	2.666815504
255	2.661238177
256	2.655239052
257	2.648756955
258	2.642516387
259	2.637057586
260	2.631455714
261	2.626174811
262	2.621271419
263	2.616439691
264	2.611459738
265	2.605432555
266	2.600380391
267	2.594589335
268	2.588538631
269	2.583928642
270	2.579241729
271	2.574728193
272	2.56935187
273	2.563578705
274	2.55942244
275	2.55519494
276	2.550739701
277	2.54682524
278	2.542391688
279	2.538884696
280	2.533757542
281	2.529988086
282	2.52610806
283	2.52273538
284	2.517637189
285	2.513883748
286	2.509960909
287	2.50656235
288	2.502985035
289	2.499885025
290	2.496335404
291	2.492298903
292	2.488199789
293	2.484007193
294	2.479682865
295	2.475192339
296	2.472151066
297	2.468933977
298	2.465830278
299	2.463116095
300	2.46015261
301	2.457219085
302	2.45317183
303	2.450381013
304	2.447707694
305	2.445040755
306	2.44211768
307	2.438678517
308	2.43493976
309	2.432061604
310	2.429664208
311	2.426550411
312	2.423388759
313	2.420986815
314	2.418654212
315	2.416565574
316	2.414044078
317	2.410885847
318	2.407558176
319	2.405128167
320	2.402663592
321	2.400583355
322	2.398192695
323	2.396014462
324	2.393038688
325	2.38984128
326	2.387985827
327	2.385923818
328	2.383745096
329	2.381241755
330	2.379126119
331	2.377295902
332	2.375237109
333	2.373705301
334	2.371737857
335	2.369965753
336	2.368167934
337	2.366418873
338	2.364714997
339	2.363105677
340	2.361163609
341	2.358535265
342	2.357019981
343	2.355225772
344	2.353340596
345	2.351790082
346	2.350196834
347	2.348151938
348	2.346820146
349	2.345285927
350	2.343563684
351	2.341020811
352	2.339486306
353	2.337246551
354	2.335240487
355	2.333863754
356	2.332729878
357	2.331281118
358	2.329142825
359	2.327560008
360	2.325654322
361	2.323628212
362	2.322329238
363	2.320883495
364	2.319674445
365	2.318262646
366	2.317112297
367	2.315132161
368	2.313387326
369	2.311693574
370	2.310665935
371	2.309356073
372	2.308032625
373	2.306941616
374	2.305762522
375	2.304659395
376	2.302695179
377	2.301765347
378	2.300030421
379	2.299075717
380	2.298136108
381	2.297164369
382	2.296231656
383	2.29530298
384	2.294452964
385	2.292878991
386	2.291954305
387	2.290320163
388	2.289526736
389	2.288659406
390	2.286922217
391	2.286233052
392	2.285465014
393	2.284199627
394	2.282567677
395	2.281587792
396	2.280686338
397	2.279092613
398	2.27802675
399	2.27649549
400	2.275625776
401	2.274805824
402	2.273568586
403	2.272829971
404	2.271929851
405	2.270402988
406	2.26893727
407	2.267450007
408	2.266729855
409	2.265935277
410	2.265126071
411	2.26358241
