iter	Passed	Remaining
0	10	5044
1	22	5694
2	49	8225
3	72	8944
4	101	10031
5	116	9570
6	128	9081
7	141	8727
8	154	8454
9	166	8147
10	183	8163
11	198	8077
12	226	8477
13	243	8456
14	254	8222
15	265	8024
16	276	7849
17	287	7692
18	299	7574
19	322	7748
20	346	7906
21	361	7856
22	385	7986
23	408	8109
24	423	8037
25	440	8029
26	460	8064
27	482	8130
28	507	8245
29	521	8164
30	543	8222
31	568	8313
32	588	8323
33	608	8342
34	621	8257
35	644	8304
36	662	8287
37	675	8210
38	686	8110
39	697	8024
40	721	8080
41	741	8082
42	759	8066
43	779	8077
44	800	8098
45	818	8081
46	829	7998
47	851	8022
48	867	7981
49	879	7919
50	891	7846
51	904	7796
52	917	7734
53	932	7703
54	943	7633
55	955	7575
56	966	7512
57	977	7451
58	989	7394
59	1000	7334
60	1011	7277
61	1026	7251
62	1042	7232
63	1058	7209
64	1081	7238
65	1108	7290
66	1128	7293
67	1140	7245
68	1165	7279
69	1187	7297
70	1199	7248
71	1211	7199
72	1222	7149
73	1233	7101
74	1256	7121
75	1281	7147
76	1308	7186
77	1324	7165
78	1335	7115
79	1346	7069
80	1358	7029
81	1371	6990
82	1382	6947
83	1393	6903
84	1404	6858
85	1416	6818
86	1438	6830
87	1462	6849
88	1475	6815
89	1492	6800
90	1516	6817
91	1529	6781
92	1539	6736
93	1552	6704
94	1564	6668
95	1576	6634
96	1588	6597
97	1607	6592
98	1622	6573
99	1633	6534
100	1659	6555
101	1685	6577
102	1711	6596
103	1735	6607
104	1751	6587
105	1763	6553
106	1775	6522
107	1789	6495
108	1811	6497
109	1828	6484
110	1847	6473
111	1861	6449
112	1874	6419
113	1893	6410
114	1907	6386
115	1922	6364
116	1937	6341
117	1950	6315
118	1966	6296
119	1981	6274
120	1993	6242
121	2008	6221
122	2027	6213
123	2043	6195
124	2059	6179
125	2078	6170
126	2101	6171
127	2120	6163
128	2133	6135
129	2145	6106
130	2157	6078
131	2177	6069
132	2198	6066
133	2214	6048
134	2225	6017
135	2236	5984
136	2247	5954
137	2258	5924
138	2278	5917
139	2303	5924
140	2318	5903
141	2341	5903
142	2359	5891
143	2371	5863
144	2382	5833
145	2394	5805
146	2406	5778
147	2417	5749
148	2428	5721
149	2441	5697
150	2455	5675
151	2467	5648
152	2491	5651
153	2517	5657
154	2536	5646
155	2561	5648
156	2588	5656
157	2617	5666
158	2642	5666
159	2670	5674
160	2697	5680
161	2720	5676
162	2740	5665
163	2761	5657
164	2774	5632
165	2784	5603
166	2798	5580
167	2814	5562
168	2840	5563
169	2861	5555
170	2874	5529
171	2885	5503
172	2898	5478
173	2914	5461
174	2931	5444
175	2946	5424
176	2958	5398
177	2968	5369
178	2979	5342
179	2991	5318
180	3005	5297
181	3017	5271
182	3029	5248
183	3041	5224
184	3053	5198
185	3074	5190
186	3090	5172
187	3101	5147
188	3113	5122
189	3125	5098
190	3136	5073
191	3157	5065
192	3179	5056
193	3201	5049
194	3229	5051
195	3247	5036
196	3273	5034
197	3296	5028
198	3323	5027
199	3348	5023
200	3374	5019
201	3397	5012
202	3424	5010
203	3455	5013
204	3474	5000
205	3496	4990
206	3525	4989
207	3544	4975
208	3555	4950
209	3567	4927
210	3578	4901
211	3590	4877
212	3613	4869
213	3639	4863
214	3662	4855
215	3684	4844
216	3695	4819
217	3706	4794
218	3718	4770
219	3743	4764
220	3766	4755
221	3782	4736
222	3806	4728
223	3830	4720
224	3846	4700
225	3858	4678
226	3883	4670
227	3905	4659
228	3928	4649
229	3952	4639
230	3976	4631
231	3999	4620
232	4016	4602
233	4029	4580
234	4041	4557
235	4053	4534
236	4068	4514
237	4085	4497
238	4097	4475
239	4115	4458
240	4139	4448
