iter	Passed	Remaining
0	23	11679
1	36	9121
2	48	7999
3	59	7329
4	71	7055
5	82	6811
6	105	7439
7	123	7608
8	135	7368
9	146	7175
10	157	7019
11	169	6873
12	179	6721
13	201	7007
14	227	7352
15	242	7339
16	256	7292
17	282	7553
18	308	7819
19	328	7885
20	340	7775
21	352	7654
22	363	7528
23	374	7435
24	388	7386
25	413	7537
26	430	7539
27	455	7684
28	473	7697
29	501	7863
30	531	8035
31	552	8076
32	563	7978
33	577	7914
34	588	7822
35	600	7733
36	610	7643
37	621	7553
38	632	7476
39	644	7406
40	656	7353
41	667	7283
42	679	7220
43	690	7158
44	701	7093
45	712	7032
46	724	6980
47	734	6917
48	748	6888
49	765	6890
50	780	6875
51	791	6820
52	802	6769
53	813	6720
54	825	6681
55	838	6649
56	851	6615
57	868	6615
58	884	6610
59	897	6579
60	909	6547
61	922	6518
62	936	6494
63	948	6461
64	958	6414
65	967	6362
66	976	6312
67	986	6267
68	996	6223
69	1006	6182
70	1017	6150
71	1027	6110
72	1039	6081
73	1050	6050
74	1062	6019
75	1073	5988
76	1086	5968
77	1097	5938
78	1108	5907
79	1123	5900
80	1149	5947
81	1172	5979
82	1186	5960
83	1197	5932
84	1209	5905
85	1220	5875
86	1232	5850
87	1244	5824
88	1255	5798
89	1267	5774
90	1278	5747
91	1289	5718
92	1301	5694
93	1311	5666
94	1324	5647
95	1335	5621
96	1346	5592
97	1357	5567
98	1383	5604
99	1405	5623
100	1417	5601
101	1429	5577
102	1441	5554
103	1452	5530
104	1474	5548
105	1487	5528
106	1498	5502
107	1508	5477
108	1520	5453
109	1532	5432
110	1544	5411
111	1558	5400
112	1575	5396
113	1588	5377
114	1599	5355
115	1610	5331
116	1621	5307
117	1631	5283
118	1643	5261
119	1654	5239
120	1668	5226
121	1681	5209
122	1699	5210
123	1713	5195
124	1724	5174
125	1734	5149
126	1746	5128
127	1756	5104
128	1767	5083
129	1779	5065
130	1805	5085
131	1827	5094
132	1839	5076
133	1851	5057
134	1862	5036
135	1874	5017
136	1885	4997
137	1899	4983
138	1925	5001
139	1950	5016
140	1964	5000
141	1974	4978
142	1985	4957
143	2000	4945
144	2011	4923
145	2022	4903
146	2037	4892
147	2049	4875
148	2060	4854
149	2078	4849
150	2106	4868
151	2122	4859
152	2134	4840
153	2146	4822
154	2157	4803
155	2169	4783
156	2180	4763
157	2191	4744
158	2203	4726
159	2215	4707
160	2226	4688
161	2239	4671
162	2249	4651
163	2260	4631
164	2272	4613
165	2284	4595
166	2298	4583
167	2311	4568
168	2323	4550
169	2336	4535
170	2351	4523
171	2362	4505
172	2375	4489
173	2385	4469
174	2397	4451
175	2408	4434
176	2427	4429
177	2441	4416
178	2463	4418
179	2486	4421
180	2504	4414
181	2521	4405
182	2543	4405
183	2559	4395
184	2577	4388
185	2589	4371
186	2601	4353
187	2613	4336
188	2625	4320
189	2637	4302
190	2652	4292
191	2671	4284
192	2689	4277
193	2705	4266
194	2719	4253
195	2736	4243
196	2752	4233
197	2774	4231
198	2799	4234
199	2819	4228
200	2837	4221
201	2852	4208
202	2866	4194
203	2898	4205
204	2919	4200
205	2942	4200
206	2963	4194
207	2984	4189
208	3006	4186
209	3027	4180
210	3044	4170
211	3064	4163
212	3086	4158
213	3105	4149
214	3117	4132
215	3134	4121
216	3153	4112
217	3169	4099
218	3181	4082
219	3192	4062
220	3205	4046
221	3225	4039
222	3248	4034
223	3260	4017
224	3271	3998
225	3287	3986
226	3312	3983
227	3328	3971
228	3348	3962
229	3363	3947
230	3389	3947
231	3410	3940
232	3436	3938
233	3450	3922
234	3461	3903
235	3473	3885
236	3485	3867
237	3508	3862
238	3531	3856
239	3549	3844
240	3567	3834
241	3583	3820
242	3604	3812
243	3629	3808
244	3653	3802
245	3673	3792
246	3693	3783
247	3705	3765
248	3726	3756
249	3743	3743
250	3756	3726
251	3767	3708
252	3785	3695
253	3802	3682
254	3814	3665
255	3826	3646
256	3849	3639
257	3870	3630
258	3885	3615
259	3905	3604
260	3919	3589
261	3932	3571
262	3951	3560
263	3968	3547
264	3979	3529
265	3991	3511
266	4010	3499
267	4036	3494
268	4052	3479
269	4072	3469
270	4099	3464
271	4118	3451
272	4131	3434
273	4142	3416
274	4153	3398
275	4166	3381
276	4177	3363
277	4193	3349
278	4215	3339
279	4228	3322
280	4240	3305
281	4257	3291
282	4281	3282
283	4301	3271
284	4331	3267
285	4359	3261
286	4379	3250
287	4399	3238
288	4422	3228
289	4449	3221
290	4464	3206
291	4475	3188
292	4487	3170
293	4499	3152
294	4510	3134
295	4521	3116
296	4533	3098
297	4545	3081
298	4556	3063
299	4568	3045
300	4580	3028
301	4591	3010
302	4604	2993
303	4623	2980
304	4641	2967
305	4652	2949
306	4669	2935
307	4680	2918
308	4692	2900
309	4709	2886
310	4728	2873
311	4741	2857
312	4753	2840
313	4776	2829
314	4800	2819
315	4816	2804
316	4827	2786
317	4839	2769
318	4851	2753
319	4865	2737
320	4884	2723
321	4904	2711
322	4920	2696
323	4936	2681
324	4956	2668
325	4972	2654
326	4993	2641
327	5010	2627
328	5025	2612
329	5041	2597
330	5061	2584
331	5079	2570
332	5092	2554
333	5111	2540
334	5129	2526
