iter	RMSE
0	14.14161082
1	14.00827558
2	13.87628166
3	13.74442706
4	13.61638038
5	13.48909179
6	13.362447
7	13.2371857
8	13.11345098
9	12.99021434
10	12.86805192
11	12.74729626
12	12.6286581
13	12.5100896
14	12.39540251
15	12.2811393
16	12.16803255
17	12.0559144
18	11.94397078
19	11.83352771
20	11.72436966
21	11.61616707
22	11.50806808
23	11.40094603
24	11.295012
25	11.19062671
26	11.08845761
27	10.98761125
28	10.88736907
29	10.78882651
30	10.69104449
31	10.59357043
32	10.49628412
33	10.40222013
34	10.30636658
35	10.21252718
36	10.12056146
37	10.02987196
38	9.939011314
39	9.848631064
40	9.758396648
41	9.670923262
42	9.583611567
43	9.498610875
44	9.411935662
45	9.327458839
46	9.243137249
47	9.160076091
48	9.078216541
49	8.997431708
50	8.917807766
51	8.839376679
52	8.759869303
53	8.681955053
54	8.604211063
55	8.527633765
56	8.451891104
57	8.378205391
58	8.304298948
59	8.231678365
60	8.15877326
61	8.087954221
62	8.016551258
63	7.948164786
64	7.878619989
65	7.80993425
66	7.742818099
67	7.675420853
68	7.610439529
69	7.544940122
70	7.479623257
71	7.415898182
72	7.351069377
73	7.289002694
74	7.227844689
75	7.166925047
76	7.10608939
77	7.045695369
78	6.986319546
79	6.927130131
80	6.868922228
81	6.811346683
82	6.753948869
83	6.698492014
84	6.642968966
85	6.587889498
86	6.533631528
87	6.480356558
88	6.42708736
89	6.374422122
90	6.322081281
91	6.27057831
92	6.220466156
93	6.170761453
94	6.120814569
95	6.071017162
96	6.02239426
97	5.974312927
98	5.927221947
99	5.880912134
100	5.835864985
101	5.78978628
102	5.744109706
103	5.699186552
104	5.655252853
105	5.611458312
106	5.568465361
107	5.527188874
108	5.482925097
109	5.439360106
110	5.397611636
111	5.356688213
112	5.316678991
113	5.27629047
114	5.236437829
115	5.1976703
116	5.159410702
117	5.12084354
118	5.083651988
119	5.045837745
120	5.009183248
121	4.973047416
122	4.936553241
123	4.901228894
124	4.866179936
125	4.83115767
126	4.796530737
127	4.763154739
128	4.729287803
129	4.696395388
130	4.663752343
131	4.631566722
132	4.598225123
133	4.566318215
134	4.536039684
135	4.504984697
136	4.474358141
137	4.444228355
138	4.413989186
139	4.382917321
140	4.35355206
141	4.325403152
142	4.297793595
143	4.270400194
144	4.243279565
145	4.216431017
146	4.189576688
147	4.161973517
148	4.136012043
149	4.110540278
150	4.086212767
151	4.061185897
152	4.036752862
153	4.012696021
154	3.988444828
155	3.964739175
156	3.940879141
157	3.917621169
158	3.89403287
159	3.871728945
160	3.848858016
161	3.825374852
162	3.803681535
163	3.782952347
164	3.76133673
165	3.739874963
166	3.719747668
167	3.699653516
168	3.680184867
169	3.658992326
170	3.639113264
171	3.620570916
172	3.601442396
173	3.582702162
174	3.564354077
175	3.544906238
176	3.525765143
177	3.508241146
178	3.490928337
179	3.47363014
180	3.455885015
181	3.439232164
182	3.423304528
183	3.406984907
184	3.389336724
185	3.373469918
186	3.358203293
187	3.342190058
188	3.327525764
189	3.312324503
190	3.295778938
191	3.280540973
192	3.26693875
193	3.25258831
194	3.238488247
195	3.2244297
196	3.210216936
197	3.196894441
198	3.183879739
199	3.169494256
200	3.157076776
201	3.144762346
202	3.132316377
203	3.120312109
204	3.107482102
205	3.096277947
206	3.083114713
207	3.07152777
208	3.059838802
209	3.048636716
210	3.037036979
211	3.024889091
212	3.012856514
213	3.002190944
214	2.990719791
215	2.980445643
216	2.969885567
217	2.958488811
218	2.94759049
219	2.93774171
220	2.926458067
221	2.915070945
222	2.905738197
223	2.896640111
224	2.887973515
225	2.879402835
226	2.870159203
227	2.861768664
228	2.85202976
229	2.843907702
230	2.833977191
231	2.824167625
232	2.814585962
233	2.807031048
234	2.798313248
235	2.789028982
236	2.781665728
237	2.773825403
238	2.765309867
239	2.758148975
240	2.751074548
241	2.742906935
242	2.734323415
243	2.727456732
244	2.71946898
245	2.712817259
246	2.704730339
247	2.698209309
248	2.690539732
249	2.683155223
250	2.677321236
251	2.671307189
252	2.665217778
253	2.658093332
254	2.651450169
255	2.646066334
256	2.640399134
257	2.634982665
258	2.628287746
259	2.621972017
260	2.616969347
261	2.611815377
262	2.606925456
263	2.601626204
264	2.59673307
265	2.591118101
266	2.586061766
267	2.580109295
268	2.575518959
269	2.570239054
270	2.565156551
271	2.559396921
272	2.555052155
273	2.550778795
274	2.545482769
275	2.54028622
276	2.536565459
277	2.532434509
278	2.527258014
279	2.522969754
280	2.519273323
281	2.515619564
