iter	Passed	Remaining
401	13474	50212
402	13511	50191
403	13551	50180
404	13589	50164
405	13626	50142
406	13661	50116
407	13695	50083
408	13729	50051
409	13764	50023
410	13801	50002
411	13836	49971
412	13871	49945
413	13904	49909
414	13937	49873
415	13972	49845
416	14009	49823
417	14047	49805
418	14085	49787
419	14120	49758
420	14160	49746
421	14197	49724
422	14231	49691
423	14267	49666
424	14302	49636
425	14338	49611
426	14373	49584
427	14410	49560
428	14446	49536
429	14480	49503
430	14516	49476
431	14550	49445
432	14584	49413
433	14619	49383
434	14658	49367
435	14695	49344
436	14733	49323
437	14770	49301
438	14807	49280
439	14843	49252
440	14876	49218
441	14909	49179
442	14945	49154
443	14980	49125
444	15014	49093
445	15045	49051
446	15078	49012
447	15111	48978
448	15143	48939
449	15178	48907
450	15209	48866
451	15248	48847
452	15289	48837
453	15327	48819
454	15365	48798
455	15400	48769
456	15435	48739
457	15470	48708
458	15505	48679
459	15544	48660
460	15578	48628
461	15611	48592
462	15648	48567
463	15684	48540
464	15721	48515
465	15756	48487
466	15791	48455
467	15827	48428
468	15865	48409
469	15901	48379
470	15946	48380
471	15984	48359
472	16023	48342
473	16063	48325
474	16101	48303
475	16136	48275
476	16174	48252
477	16211	48227
478	16249	48205
479	16288	48187
480	16325	48162
481	16362	48137
482	16399	48112
483	16437	48090
484	16473	48061
485	16510	48036
486	16552	48024
487	16590	48003
488	16631	47988
489	16670	47969
490	16711	47957
491	16753	47945
492	16793	47927
493	16833	47910
494	16874	47896
495	16907	47859
496	16940	47822
497	16973	47785
498	17009	47754
499	17044	47724
500	17077	47688
501	17114	47660
502	17148	47627
503	17183	47594
504	17224	47581
505	17264	47562
506	17307	47551
507	17351	47547
508	17403	47560
509	17451	47563
510	17502	47576
511	17549	47575
512	17591	47561
513	17631	47542
514	17688	47569
515	17724	47540
516	17763	47517
517	17799	47487
518	17833	47452
519	17877	47443
520	17914	47417
521	17954	47397
522	17991	47368
523	18028	47343
524	18066	47315
525	18104	47290
526	18140	47262
527	18176	47232
528	18212	47201
529	18251	47178
530	18289	47153
531	18327	47128
532	18366	47105
533	18405	47081
534	18441	47051
535	18479	47027
536	18518	47002
537	18554	46972
538	18591	46944
539	18628	46917
540	18666	46890
541	18707	46871
542	18741	46837
543	18782	46818
544	18829	46814
545	18870	46795
546	18910	46774
547	18951	46755
548	18989	46730
549	19026	46702
550	19063	46673
551	19100	46642
552	19135	46609
553	19171	46578
554	19209	46552
555	19248	46527
556	19287	46505
557	19327	46481
558	19367	46461
559	19404	46431
560	19443	46406
561	19482	46383
562	19522	46361
563	19558	46331
564	19594	46299
565	19632	46271
566	19672	46249
567	19710	46223
568	19747	46193
569	19784	46162
570	19821	46134
571	19859	46106
572	19893	46071
573	19930	46042
574	19968	46013
575	20003	45979
576	20040	45951
577	20081	45930
578	20119	45902
579	20156	45873
580	20201	45862
581	20240	45837
582	20282	45818
583	20322	45795
584	20363	45774
585	20400	45745
586	20438	45717
587	20478	45693
588	20516	45665
589	20554	45638
590	20592	45609
591	20630	45581
592	20670	45559
593	20707	45528
594	20747	45505
595	20783	45473
596	20823	45448
597	20863	45425
598	20905	45406
599	20956	45404
600	21003	45396
601	21109	45515
602	21164	45522
603	21208	45507
604	21246	45478
605	21282	45444
606	21320	45416
607	21362	45394
608	21396	45358
609	21430	45320
610	21463	45279
611	21496	45241
612	21531	45205
613	21587	45213
614	21626	45187
615	21666	45161
616	21706	45137
617	21744	45107
618	21779	45072
619	21816	45041
620	21863	45029
621	21901	45001
622	21938	44968
623	21977	44940
624	22015	44912
625	22055	44886
626	22093	44857
627	22131	44826
628	22173	44805
629	22218	44789
630	22259	44766
631	22310	44761
632	22348	44732
633	22387	44705
634	22423	44669
